6561/1000	0.032514280250762535
6571/1000	0.03256426383438076+3.5523862554683654*^-16*I
6581/1000	0.032614207969208456
6591/1000	0.03266411262123059
6601/1000	0.032713977756788026+3.6853468095804904*^-19*I
6611/1000	0.032763803342575094+1.5695641969478373*^-18*I
6621/1000	0.03281358934563904+4.161035385203118*^-17*I
6631/1000	0.03286333573337841+8.384694190170922*^-17*I
6641/1000	0.03291304247354108-8.38879228117296*^-17*I
6651/1000	0.032962709534220765+0.*I
6661/1000	0.03301233688385815-1.5695641969478373*^-18*I
6671/1000	0.0330619244912384+8.380596099168884*^-17*I
6681/1000	0.033111472325487716+8.384694190170922*^-17*I
6691/1000	0.03316098035607497+3.09186320781516*^-17*I
6701/1000	0.03321044855280597+3.09186320781516*^-17*I
6711/1000	0.03325987688582604-3.09186320781516*^-17*I
6721/1000	0.033309265325614325-5.873432563361044*^-16*I
6731/1000	0.033358613842985094+2.7135070273510696*^-16*I
6741/1000	0.033407922409084946-8.38879228117296*^-17*I
6751/1000	0.033457190995392475
6761/1000	0.03350641957371301+6.881654274533063*^-18*I
6771/1000	0.033555608116182536-5.754406738047244*^-17*I
6781/1000	0.03360475659526143+0.*I
6791/1000	0.03365386498373476+0.*I
6801/1000	0.03370293325471035+5.748854554971597*^-18*I
6811/1000	0.033751961381618026+0.*I
6821/1000	0.03380094933820772+3.777719568489414*^-17*I
